Band,Frequency,Delta_T band,T_band avg,Percent Difference,Picowatt Loading
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_down_down.csv,detector_down.csv
Low,128-170,-3.542080204296085,18.205289191712172,-0.19141525738410198,8.12754663648152
Medium,195-245,0.0026843584787705067,17.581612915605202,8.205398152338799e-05,8.903413094637456
High,245-310,1.3644002119567824,19.34009768894244,0.06879733197830452,13.014992834906044
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_down_down.csv,detector.csv
Low,128-170,-3.1485157371520747,16.182479281521932,-0.19141525738410198,7.224485899094686
Medium,195-245,0.0023860964255734162,15.628100369426848,8.205398152336601e-05,7.914144973011071
High,245-310,1.2128001884060289,17.191197945726618,0.06879733197830452,11.568882519916485
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_down_down.csv,detector_up.csv
Low,128-170,-2.754951270008065,14.159669371331688,-0.19141525738410198,6.32142516170785
Medium,195-245,0.002087834372376813,13.674587823248489,8.205398152337078e-05,6.9248768513846874
High,245-310,1.0612001648552751,15.042298202510786,0.06879733197830452,10.122772204926925
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_down_mid.csv,detector_down.csv
Low,128-170,-3.542080204296084,18.707681675707846,-0.18628270472829808,8.362684118250876
Medium,195-245,0.002684358478770089,17.987774904076687,9.199542252761278e-05,9.120257614365551
High,245-310,1.3644002119567824,19.665832250491942,0.06771171991889563,13.241619550205874
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_down_mid.csv,detector.csv
Low,128-170,-3.1485157371520756,16.629050378406973,-0.1862827047282981,7.433496994000777
Medium,195-245,0.002386096425573486,15.989133248068166,9.199542252761843e-05,8.106895657213824
High,245-310,1.2128001884060293,17.48073977821506,0.06771171991889564,11.770328489071888
LMT_annual_5.out,mirrors.csv,warm_optics.csv,input_files/model_V1.csv,window.csv,cold_optics_down_mid.csv,detector_up.csv
Low,128-170,-2.7549512700080645,14.550419081106101,-0.18628270472829803,6.50430986975068
Medium,195-245,0.0020878343723767087,13.990491592059643,9.199542252761163e-05,7.093533700062094
