Band,Frequency (GHz),Delta T_band (K),T_band_avg (K),Percent difference (band avg),Picowatt loading
Low,128-170,-0.6997401341322632,9.62571340588025,-0.07366809038585968,4.319751509049081
Medium,195-245,0.007368462803406524,10.772245233761858,0.0006389799475709401,5.477158482414775
High,245-310,0.2964959562131703,12.04980767640996,0.023048021712896785,8.207710435123493
