Frequency (GHZ),T_diff (K),T_avg (K),Percent difference
100,-1.9466012993418627,9.538364608141656,-0.20408124236310943
101,-1.9235818702437513,9.533329036808615,-0.20177441299012283
102,-1.892344049451527,9.538024310307234,-0.19840000275597658
103,-1.8938183895870502,9.529628836869527,-0.1987295016422872
104,-1.8661005841541556,9.544608914703812,-0.1955135721987897
105,-1.8649650091925967,9.551138322057191,-0.19526101981851599
106,-1.8501141162939767,9.573959453923033,-0.19324440689331232
107,-1.833137303002104,9.607408138456321,-0.1908045621237285
108,-1.8112158618192282,9.65473449165135,-0.18759872302914432
109,-1.7814947650399837,9.71982202538644,-0.18328471039768396
110,-1.7361823827839231,9.81090047616658,-0.17696463102460325
111,-1.6321632796311576,9.965834757153546,-0.16377587220775253
112,-1.5778492591152098,10.111075232653373,-0.15605157936315212
113,-1.4145122962093968,10.379986600796261,-0.13627303681691533
114,-1.1325899397505417,10.815730964546201,-0.10471691127147614
115,-0.5878254716715468,11.624227210997203,-0.05056899362010313
116,0.3789438980638824,13.146212930575029,0.028825327876939158
117,2.5382510401296816,16.78715260120686,0.15120199955454042
118,6.429870849611532,24.68201851199681,0.2605083067451013
119,6.208468322480986,27.890936571394043,0.22259805821108986
120,1.6943455055436338,21.28912814563013,0.07958735998737554
121,-1.0410315202565545,15.452710784707175,-0.06736886069768513
122,-1.9245556971501223,12.898254354696668,-0.1492105554926764
123,-2.1627534557126005,11.66143668589858,-0.185462007295197
124,-2.143459815055966,11.116679569104985,-0.19281475207875745
125,-2.046384126012825,10.541434660318872,-0.19412766781318957
126,-1.8940291710362782,10.230114796421798,-0.18514251391379846
127,-1.7268044411498877,9.995825426127189,-0.17275256094772815
128,-1.5593417884710394,9.835796351400695,-0.15853742114627828
129,-1.3996017605028221,9.70167271533074,-0.14426396370711916
130,-1.2504022594318904,9.604702087927935,-0.1301864699170118
131,-1.1563615671434544,9.52505491959138,-0.1214020892168317
132,-1.0799134385393554,9.448631795269801,-0.11429310210606201
133,-1.0194163152018216,9.391994017314882,-0.1085409885613691
134,-0.9734794853137512,9.345206251184361,-0.10416886039196595
135,-0.9406305556128753,9.30524907673372,-0.10108601584505361
136,-0.9193572580431688,9.27458741739266,-0.09912648581209074
137,-0.9078821690930319,9.266341565799205,-0.09797633323208162
138,-0.9063958607643112,9.239212111500915,-0.0981031553151632
139,-0.9129885822455606,9.21898704766064,-0.0990335030872221
140,-0.9271824004331357,9.191191304329612,-0.10087728236016329
141,-0.9131711544141279,9.182824429371308,-0.09944338601240654
142,-0.8945419937459338,9.280569805288074,-0.0963886929912669
143,-0.8800881883791014,9.217592604110099,-0.095479180538601
144,-0.8609175558498237,9.229258730011676,-0.09328133288216252
145,-0.8375403427477135,9.292267446116359,-0.09013304315705613
146,-0.8175873156177857,9.19215411563783,-0.08894403915910135
147,-0.791681372526984,9.19180250416073,-0.08612906686894374
148,-0.7632487561034669,9.202071374351469,-0.08294314671703555
149,-0.7325257831281853,9.226506070924431,-0.07939362717557844
150,-0.7006921492556231,9.243110586576613,-0.07580696375884644
151,-0.6733156107333027,9.278294654600757,-0.07256889717330015
152,-0.6472283510578123,9.286118576628844,-0.06969848012567342
153,-0.6214988959197285,9.301137071949018,-0.06681966851064756
154,-0.5937308050616181,9.446286587034693,-0.06285335508204157
155,-0.5714949018773385,9.356909853810393,-0.06107731193376946
156,-0.5472284840181665,9.397386705793078,-0.058231985247645925
157,-0.5233524958439553,9.43648089585517,-0.055460557979175255
158,-0.499444676628956,9.485559540844541,-0.05265315920250797
159,-0.4751599973542664,9.542389732047468,-0.049794654242477
160,-0.450039377577399,9.607560460670296,-0.04684221134175416
161,-0.4304215114370784,9.68223854749774,-0.044454751793769405
162,-0.41013058680266035,9.767495183151109,-0.04198933084811078
163,-0.38851212446719785,9.866170840079233,-0.039378207692182816
164,-0.3648372797539494,9.981815206174137,-0.03655019374915732
165,-0.33804869369438606,10.282861261314437,-0.032874963991410884
166,-0.3072882106068082,10.342851041991484,-0.02971020363333405
167,-0.2727697068090329,10.43738230403473,-0.026133919297330863
168,-0.23182130422107683,10.640521081398468,-0.021786649586770887
169,-0.1834631352028122,10.889474681021166,-0.01684774891139265
170,-0.12660209872460548,11.178016797025965,-0.01132598930771775
171,-0.058607808875361656,11.530361294248678,-0.005082911747491825
172,0.023697393998896032,11.969279955365586,0.0019798512598306274
173,0.12454213607880327,12.524319800066326,0.00994402395235418
174,0.24969436700789238,13.234965409686822,0.018866265175512906
175,0.40880556682693125,14.172155991663239,0.028845686363275346
176,0.6126362472724036,15.406571504922539,0.03976460610179629
177,0.8731877435593844,17.01903690797674,0.051306530932436346
178,1.217094528776446,19.21181114120629,0.063351368584192
179,1.6566348310277768,22.079609339294677,0.07503007890993316
180,2.1671149045870877,25.480277479731672,0.08505067915021423
181,2.6120244540990285,28.52043117976212,0.09158432555369293
182,2.7959271361897073,29.90631354583646,0.09348952795216563
183,2.7794344893053484,30.103629605883626,0.0923288827856864
184,2.699909568462054,30.08828658060821,0.08973291188346152
185,2.533367293622778,29.62182837963354,0.08552366387230141
186,2.1683309144994922,27.65228720768449,0.07841416148378928
187,1.689754012758744,24.58134079503524,0.06874132810119245
188,1.2548080489091937,21.578555076392576,0.05815069843494674
189,0.9167369168874799,19.12848602950512,0.04792522081849241
190,0.6686983823254451,17.250952164308238,0.03876298397655779
191,0.48536124592398266,15.834944197429458,0.03065127605582425
192,0.35174400187306,14.76783321661648,0.02381825395192603
193,0.25463344286455225,13.969131073720531,0.018228295054341797
194,0.1828463567575973,13.34866633378255,0.013697724715378737
195,0.12935913935045207,12.846159924571781,0.010069868358326869
196,0.08966139278267704,12.420753895780491,0.007218675575975811
197,0.06112490098880485,12.058200891498998,0.0050691559660361735
198,0.04252586233392286,11.792084434779326,0.003606305786659564
199,0.030861826792992986,11.57931344416629,0.002665255322934652
200,0.02470839116017487,11.421925009258228,0.002163242285354446
201,0.01928003883192808,11.384278941216284,0.0016935669734975962
202,0.014784402228775306,11.275380708404512,0.0013112109126173644
203,0.012464999524024023,11.325133920053624,0.001100649194262685
204,0.009595534893986013,11.179335193725787,0.0008583278636614585
205,0.006599933137373171,10.91585087412767,0.0006046192104928877
206,0.0039518349636225025,10.764758973664613,0.00036710854124002664
207,0.0008224600477895194,10.63821835014616,7.73118224047563e-05
208,-0.0030004239640888386,10.560173166064873,-0.0002841263980150159
209,-0.0077998102218899135,10.508542371959294,-0.0007422352164371258
210,-0.01395868340573081,10.42789661229703,-0.0013385905062838965
211,-0.014809690940534637,10.406491402450834,-0.0014231204704639264
212,-0.016076783848188114,10.341763213623508,-0.0015545495981777744
213,-0.01749365941941683,10.313879861359695,-0.0016961279028424336
214,-0.019189911017898353,10.295416010042896,-0.0018639276935656726
215,-0.020374389305393592,10.608547490909135,-0.0019205635194500638
216,-0.023397298055250815,10.271964194291746,-0.0022777822831832857
217,-0.02576979530619994,10.254898604765236,-0.002512925412468267
218,-0.028128038850368853,10.250588652013205,-0.002744041323406782
219,-0.03033748289374749,10.245594012583929,-0.0029610272334123465
220,-0.032178923849162544,10.246436167882315,-0.003140499127884884
221,-0.030716960131700333,10.248808356893164,-0.0029971250375699196
222,-0.028468377786419197,10.258398170485599,-0.0027751289541797534
223,-0.025407807053070997,10.279722829732117,-0.0024716432022450848
224,-0.021589546443074425,10.325952499875912,-0.002090804353722707
225,-0.017179394368781686,10.428725512827436,-0.0016473148466369031
226,-0.01277434555529311,10.702659194077752,-0.001193567441852368
227,-0.0051571293425975995,10.42427058662918,-0.0004947232806113509
228,0.0022832532300611774,10.342980132981417,0.00022075390271517596
229,0.00998564989144235,10.31913594782236,0.0009676827538597952
230,0.017931059859582987,10.324803779821444,0.0017366973980296877
231,0.0211057841852611,10.397626051034745,0.0020298656714203243
232,0.024516270118489558,10.364077706033811,0.0023655042748489384
233,0.027295509627368375,10.416708361469492,0.0026203584357158464
234,0.02828938114377344,10.85135016294415,0.002606991823043158
235,0.032258286799365266,10.458548554789225,0.003084394228355273
236,0.03409025274130961,10.525777250594714,0.0032387397082133283
237,0.03511775785590565,10.716949266291554,0.0032768427827089682
238,0.037323473040306254,10.496657798162959,0.0035557482922648305
239,0.0364309015712756,10.990181995198183,0.0033148588064504246
240,0.0383418832409248,10.666946141725928,0.003594457376225303
241,0.040729913336422285,10.730669795270977,0.0037956543359830178
242,0.042873253021879165,10.857647072705841,0.003948668872250855
243,0.04589929438796325,10.772746532807336,0.0042606863763276605
244,0.04854061543241883,10.746849525384167,0.0045167297930212395
245,0.0511490198231801,10.681026121672314,0.004788773966145096
246,0.052965339085101704,10.693215868790949,0.004953172154663547
247,0.05407840486970272,10.724206949079385,0.005042648386633854
248,0.05293136531815357,10.946491156492389,0.0048354641283165755
249,0.053709041565872084,10.80930179432195,0.004968779907143037
250,0.04038195622366558,11.956427636095302,0.003377426556888644
251,0.048817968514184074,10.920316085319147,0.004470380539608471
252,0.0458036736468852,10.89671553292131,0.004203438504795551
253,0.04135195822410331,10.923372596404036,0.0037856401820181742
254,0.0353207664420605,10.999619390540076,0.003211089873931199
255,0.028142699185380593,11.096575287759245,0.002536160793359832
256,0.023335384826980388,11.061525931782644,0.002109599070769409
257,0.01831098781374685,11.039498450703832,0.0016586793227530566
258,0.011626555359400825,11.086681002425518,0.0010486957599715545
259,0.004388706939016274,11.155199268722317,0.0003934225497272487
260,0.0009922921618219505,11.102622927487683,8.937457106331609e-05
261,0.004459893701273643,11.127995033832192,0.0004007814244807199
262,0.009547017031881211,11.166895031082898,0.000854939265150001
263,0.014040159361632831,11.277136672263662,0.0012450110138475911
264,0.02146393680184744,11.355904359017542,0.0018901125021190646
265,0.03018292226276209,11.446898370047201,0.002636777342388306
266,0.043695865195086725,11.463801214844247,0.0038116384239553825
267,0.057293503983517624,11.522897195845001,0.00497214398512354
268,0.07927164948497456,11.434219687154023,0.006932842962081068
269,0.09967866487945187,11.428995876402244,0.008721559265347283
270,0.12097879070945083,11.450952581240843,0.010564954299753234
271,0.12344254867636018,11.483912238296899,0.01074917206914036
272,0.12553340663400014,11.518772388357892,0.010898158449669314
273,0.09791055961241923,12.191431529665143,0.008031096214925672
274,0.1297825593332842,11.596741687582888,0.011191295178390303
275,0.13315893692184133,11.622493182151793,0.011457002799221109
276,0.13526956974357773,11.689321969376032,0.011572062956085923
277,0.13616226237784979,11.800259881654895,0.011538920646106489
278,0.14667403944738133,11.673376718178073,0.012564833894118816
279,0.15099591457661532,11.692006156353957,0.01291445732728745
280,0.1538889945766897,11.731510936116301,0.013117576705565806
281,0.16351019274039658,11.780393287450453,0.013879858570985275
282,0.17524465419165836,11.77690248687849,0.01488036895838369
283,0.18630002668257006,11.842967832939792,0.01573085642978772
284,0.19929172265597828,11.851566179318286,0.01681564441700158
285,0.21274385662045958,11.895711645853279,0.017884079822548478
286,0.22702252016183166,12.377137417869568,0.018342086097716464
287,0.2429181377856775,11.997638401102737,0.020247162788582643
288,0.25944149198516264,12.036419245006236,0.0215547071520296
289,0.29566420291592266,13.150137154029807,0.02248373529893698
290,0.29505286727984803,12.145769622787785,0.02429264480089203
291,0.3366063089761866,12.284808655178882,0.027400207721939907
292,0.3762380921002233,12.259249192783473,0.03069014147470789
293,0.4252000487194163,12.43625348397184,0.034190365230768655
294,0.4689043066418801,12.401429660934504,0.037810504067846806
295,0.5186640902407351,12.460923161380101,0.04162324761364557
296,0.5721425385473466,12.538352992172179,0.04563139504084317
297,0.629766309352112,12.629971418340599,0.049862845171414844
298,0.694034818668662,12.771375866348432,0.0543429952991509
299,0.7606250700784543,12.85746254589112,0.05915825672162105
300,0.8317678354302327,12.917853625623593,0.06438901225667668
301,0.8760801996326073,13.091799935379893,0.066918239199871
302,0.9267161845573924,13.389837933134297,0.06921041084927204
303,0.960585971213586,13.390039914857535,0.07173884299984226
304,0.9928391568754087,13.366857244437451,0.07427618464980418
305,1.037471343826999,13.530246535645023,0.076677933479912
306,1.0803307720406927,13.636026452877969,0.07922621562623047
307,1.1294005322523368,13.793736689502657,0.08187777958033925
308,1.1841593164808266,13.979951925268765,0.08470410505063744
309,1.2461638068986325,14.20201987670321,0.08774553322114566
310,1.325835615654789,14.564133723994999,0.09103429292676854
311,1.390627889062701,14.721825571641713,0.09446028838579863
312,1.4645995531386014,14.977215155435262,0.09778850994252394
313,1.5470092819174486,15.331461430667403,0.10090422813985482
314,1.6310117665202863,15.734377923188116,0.10365911982555259
315,1.706453503034643,16.11671064530232,0.10588100392135774
316,1.8105981933405246,16.83580516486087,0.10754449672056937
317,1.8851273384293314,17.39872215189677,0.10834860870652038
318,1.9828410737314925,18.307289550468223,0.10830882792700353
319,2.104803493883935,19.625603946102533,0.10724783296678775
320,2.343433943020411,22.337202355606728,0.10491170316287168
