,Capacitive axis,,,Inductive axis,,,,,,MHWP_v1,,,,Temperature (K),
Freq,Tx_C,Rx_C,Abs_C,Tx_L,Rx_L,Abs_L,DPh,45d X-Pol,Model:,Msh_HWP_Toltec_2019_01_13g,,,,emitted,reflected
64,0.927236,0.0720277,0.000735946,0.000744901,0.977335,0.0219203,141.98491,-6.5434697,,,,,,290,25
65,0.943626,0.0556428,0.000731599,0.000835957,0.97664,0.0225236,138.78309,-6.4675348,,,,,,290,25
66,0.956088,0.0431922,0.000719585,0.000940652,0.975836,0.0232231,135.62745,-6.4103969,,,,,,290,25
67,0.964538,0.0347623,0.000700161,0.00106097,0.974915,0.0240241,132.55014,-6.3717208,,,,,,290,25
68,0.969127,0.0301983,0.000674369,0.00119912,0.973869,0.0249319,129.58112,-6.3503422,,,,,,290,25
69,0.970221,0.0291358,0.000643179,0.00135753,0.97269,0.0259525,126.74696,-6.3444041,,,,,,290,25
70,0.968339,0.0310531,0.000607414,0.00153884,0.97137,0.0270916,124.06981,-6.3515441,,,,,,290,25
71,0.964038,0.0353067,0.000655498,0.00176257,0.969898,0.0283393,121.64766,-6.3707319,,,,,,290,25
72,0.95804,0.0412465,0.000713535,0.00202395,0.968251,0.0297251,119.43552,-6.3979341,,,,,,290,25
73,0.950981,0.0482374,0.000781152,0.00232902,0.966414,0.0312571,117.44342,-6.4305153,,,,,,290,25
74,0.943438,0.0557048,0.000857387,0.0026845,0.964372,0.0329432,115.67709,-6.4660784,,,,,,290,25
75,0.935898,0.0631595,0.000942111,0.00309769,0.962113,0.0347892,114.13834,-6.5025709,,,,,,290,25
76,0.928756,0.0702098,0.00103462,0.00357631,0.959626,0.036798,112.8255,-6.5383414,,,,,,290,25
77,0.922301,0.0765643,0.00113476,0.00412829,0.956903,0.0389692,111.73384,-6.5721673,,,,,,290,25
78,0.916731,0.0820269,0.00124254,0.00476132,0.953942,0.0412962,110.85563,-6.603249,,,,,,290,25
79,0.912154,0.0864884,0.0013574,0.00548238,0.95075,0.0437676,110.18042,-6.6311738,,,,,,290,25
80,0.908605,0.0899153,0.0014797,0.00629711,0.947339,0.0463636,109.69489,-6.6558738,,,,,,290,25
81,0.905918,0.0924425,0.00163949,0.00724744,0.944133,0.0486197,109.35854,-6.6784083,,,,,,290,25
82,0.904114,0.0940732,0.00181264,0.00831654,0.940894,0.0507897,109.17803,-6.6986049,,,,,,290,25
83,0.90307,0.0949306,0.00199937,0.0095079,0.937678,0.0528137,109.1333,-6.7170466,,,,,,290,25
84,0.902635,0.0951647,0.00219998,0.010822,0.934547,0.0546309,109.20164,-6.7343631,,,,,,290,25
85,0.902645,0.0949399,0.00241504,0.0122564,0.931561,0.056183,109.35814,-6.7511487,,,,,,290,25
86,0.902932,0.0944228,0.00264502,0.0138054,0.928775,0.0574197,109.57627,-6.7678939,,,,,,290,25
87,0.90334,0.0937698,0.00288997,0.0154613,0.926236,0.0583028,109.82884,-6.7849241,,,,,,290,25
88,0.903733,0.0931161,0.00315062,0.0172155,0.923974,0.0588106,110.089,-6.8023703,,,,,,290,25
89,0.904006,0.0925671,0.00342703,0.0190596,0.922001,0.058939,110.3313,-6.8201423,,,,,,290,25
90,0.90409,0.0921903,0.00371937,0.0209869,0.920311,0.0587019,110.53278,-6.837937,,,,,,290,25
91,0.904252,0.0919956,0.00375232,0.0231076,0.918222,0.05867,110.82775,-6.8583441,,,,,,290,25
92,0.90427,0.0919818,0.0037481,0.0253549,0.916192,0.0584527,111.0797,-6.8787319,,,,,,290,25
93,0.904198,0.0920954,0.00370609,0.0277439,0.91416,0.0580958,111.27755,-6.89843,,,,,,290,25
94,0.904124,0.0922492,0.00362638,0.0302967,0.912055,0.0576487,111.41397,-6.9166626,,,,,,290,25
95,0.904161,0.0923302,0.00350903,0.0330427,0.909796,0.0571612,111.48505,-6.9325858,,,,,,290,25
96,0.904438,0.0922085,0.00335395,0.0360196,0.907299,0.0566815,111.48994,-6.9453324,,,,,,290,25
97,0.905091,0.091747,0.00316156,0.0392736,0.904472,0.0562543,111.43027,-6.9540509,,,,,,290,25
98,0.906257,0.0908112,0.00293219,0.0428607,0.901219,0.0559205,111.30971,-6.9579405,,,,,,290,25
99,0.908055,0.0892781,0.00266659,0.0468472,0.897435,0.0557175,111.13349,-6.9562932,,,,,,290,25
100,0.910591,0.0870447,0.0023648,0.051312,0.893009,0.0556788,110.9082,-6.9485225,,,,,,290,25
101,0.913727,0.0839804,0.0022931,0.0564921,0.887836,0.0556717,110.62078,-6.9347318,,,,,,290,25
102,0.917684,0.0800802,0.00223539,0.0624195,0.881728,0.0558527,110.30023,-6.9141741,,,,,,290,25
103,0.922469,0.0753387,0.00219187,0.0692454,0.874508,0.0562465,109.95788,-6.8868023,,,,,,290,25
104,0.928044,0.0697935,0.00216208,0.0771516,0.865971,0.0568771,109.60664,-6.8528188,,,,,,290,25
105,0.934326,0.063528,0.00214563,0.0863571,0.855874,0.0577686,109.26139,-6.8126997,,,,,,290,25
106,0.941187,0.0566713,0.00214185,0.0971259,0.843929,0.0589449,108.93943,-6.7672306,,,,,,290,25
107,0.948452,0.0493979,0.00215022,0.109775,0.829794,0.0604306,108.66088,-6.717532,,,,,,290,25
108,0.955908,0.041923,0.00216949,0.124684,0.813066,0.0622497,108.44908,-6.6650994,,,,,,290,25
109,0.963305,0.0344958,0.00219893,0.142302,0.793273,0.0644253,108.3311,-6.6118594,,,,,,290,25
110,0.970373,0.0273892,0.00223733,0.163154,0.769869,0.0669771,108.33783,-6.5602227,,,,,,290,25
111,0.976829,0.0209229,0.00224785,0.188253,0.74179,0.0699576,108.62167,-6.5207549,,,,,,290,25
112,0.982413,0.0153273,0.0022597,0.218053,0.708608,0.0733385,109.1318,-6.4922717,,,,,,290,25
113,0.986884,0.010844,0.00227184,0.2533,0.669602,0.0770981,109.91151,-6.4799558,,,,,,290,25
114,0.990045,0.0076715,0.00228366,0.294696,0.624123,0.081181,111.00462,-6.4901866,,,,,,290,25
115,0.991755,0.0059496,0.00229492,0.342772,0.571745,0.0854828,112.45227,-6.5307096,,,,,,290,25
116,0.991947,0.0057482,0.00230505,0.397704,0.51246,0.0898361,114.28838,-6.610736,,,,,,290,25
117,0.990625,0.00706069,0.00231429,0.459059,0.44694,0.0940014,116.53346,-6.7408051,,,,,,290,25
118,0.987874,0.00980371,0.00232244,0.525557,0.376771,0.0976714,119.18812,-6.9323053,,,,,,290,25
119,0.983847,0.0138229,0.00232997,0.594908,0.304594,0.100498,122.22664,-7.1964862,,,,,,290,25
